제목,채널명,업로드 날짜,영상 길이,구독자수,조회수 한글표현,조회수,반응도 (조회수/구독자),반응 해석,영상 링크,thumbnail_url
IT (INFORMATION TECHNOLOGY) Interview Questions And Answers!,CareerVidz,2019-09-23T19:24:52Z,8분 53초,"4,970,000",38만 8천 2백,"388,290",0.08,관심도 낮음,https://www.youtube.com/watch?v=ISkcAaHn-CM,https://img.youtube.com/vi/ISkcAaHn-CM/hqdefault.jpg
제18회 한국IT 정보보안학과 프로젝트 경진대회 출품작_Network Management System,한아전 (한국IT전문학교),2020-11-27T08:27:34Z,1분 42초,838,64,64,0.08,관심도 낮음,https://www.youtube.com/watch?v=NPRg8zWupCE,https://img.youtube.com/vi/NPRg8zWupCE/hqdefault.jpg
B.Tech TIPS : Information Technology (IT) करने का ये है बड़ा फायदा #btech #education #engineering,Explaindia,2025-06-24T10:45:00Z,1분 7초,913,65,65,0.07,관심도 낮음,https://www.youtube.com/watch?v=ALqDqlY7Yxo,https://img.youtube.com/vi/ALqDqlY7Yxo/hqdefault.jpg
제18회 한국IT 정보보안학과 프로젝트 경진대회 출품작_AWS 클라우드 스토리지 서비스,한아전 (한국IT전문학교),2020-11-27T08:27:02Z,2분 21초,838,58,58,0.07,관심도 낮음,https://www.youtube.com/watch?v=2OMUrT2_xbo,https://img.youtube.com/vi/2OMUrT2_xbo/hqdefault.jpg
현대자동차 | 잡페어10 본부PR IT - 정보기술 편 [캠퍼스리크루팅TV],커리어톡TV,2017-09-13T03:20:13Z,23분 43초,"12,700",8백,827,0.07,관심도 낮음,https://www.youtube.com/watch?v=r4Tu8d-Fbk4,https://img.youtube.com/vi/r4Tu8d-Fbk4/hqdefault.jpg
Is it time for an information diet? | Yuval Noah Harari,Yuval Noah Harari ,2025-05-22T14:49:21Z,1분 27초,"760,000",4만 8천 7백,"48,755",0.06,관심도 낮음,https://www.youtube.com/watch?v=QDEQA6kftsM,https://img.youtube.com/vi/QDEQA6kftsM/hqdefault.jpg
"Cholesterol, how does it works? #Cholesterol #Health #Information #Viral #Trending #bloodcholesterol",Anjali Sharma,2025-06-25T16:11:15Z,26초,"43,000",2천 4백,"2,478",0.06,관심도 낮음,https://www.youtube.com/watch?v=Qs-Q2CPcV30,https://img.youtube.com/vi/Qs-Q2CPcV30/hqdefault.jpg
IT 국비 교육의 선두 주자 KH정보교육원 부산 지점 오픈!,KH정보교육원,2024-10-15T10:00:57Z,24초,"1,240",65,65,0.05,관심도 낮음,https://www.youtube.com/watch?v=tIszWjwbKbo,https://img.youtube.com/vi/tIszWjwbKbo/hqdefault.jpg
제18회 한국IT 정보보안학과 프로젝트 경진대회 출품작_cloud - start,한아전 (한국IT전문학교),2020-11-27T08:26:05Z,2분 13초,838,40,40,0.05,관심도 낮음,https://www.youtube.com/watch?v=X9mok70e37M,https://img.youtube.com/vi/X9mok70e37M/hqdefault.jpg
"[우.부.소.ep.24] 공기업 채용 정보! 홈피, 사내  IT 시스템, 빅데이터, 인공지능 관리하는 곳 | 공공기관 취업 정보 | 중요 정보 꼭 보세요 #쇼츠",백호돌이TV,2023-09-05T10:00:36Z,43초,"17,700",4백,467,0.03,관심도 낮음,https://www.youtube.com/watch?v=jCbR1G7Lnlw,https://img.youtube.com/vi/jCbR1G7Lnlw/hqdefault.jpg
IT 정보 전달 #shorts,미래를 여는 디지털클래스,2023-03-22T12:00:43Z,25초,"3,010",87,87,0.03,관심도 낮음,https://www.youtube.com/watch?v=hwS3xuwEfYw,https://img.youtube.com/vi/hwS3xuwEfYw/hqdefault.jpg
Top 10 IT Certifications (Best Information Technology Certificates),Shane Hummus,2024-11-19T00:00:27Z,8분 25초,"1,320,000",3만 5천 7백,"35,724",0.03,관심도 낮음,https://www.youtube.com/watch?v=nEwtG7hZBXU,https://img.youtube.com/vi/nEwtG7hZBXU/hqdefault.jpg
Top 10 IT Certifications (Best Information Technology Certificates),Shane Hummus,2024-11-19T00:00:27Z,8분 25초,"1,320,000",3만 5천 7백,"35,724",0.03,관심도 낮음,https://www.youtube.com/watch?v=nEwtG7hZBXU,https://img.youtube.com/vi/nEwtG7hZBXU/hqdefault.jpg
6న ఐటీ బోనాలు | IT Bonalu on 6th | Telangana Information Technology Association | Pallavi Tv,Pallavi TV,2025-07-04T01:30:39Z,32초,"81,600",1천 7백,"1,779",0.02,관심도 낮음,https://www.youtube.com/watch?v=hMGAsVYd-eo,https://img.youtube.com/vi/hMGAsVYd-eo/hqdefault.jpg
Federal EV tax credit set to end in September | What it means for buyers,CBS 8 San Diego,2025-07-06T05:20:07Z,2분 14초,"495,000",1만 1천 1백,"11,191",0.02,관심도 낮음,https://www.youtube.com/watch?v=d6AwLy5PCy4,https://img.youtube.com/vi/d6AwLy5PCy4/hqdefault.jpg
What is Information Technology (IT) ?,Learning Academy of Commerce ,2023-04-05T18:30:43Z,34초,"1,100,000",1만 4천 1백,"14,127",0.01,관심도 낮음,https://www.youtube.com/watch?v=sUaA28-zc84,https://img.youtube.com/vi/sUaA28-zc84/hqdefault.jpg
What is Information Technology (IT) ?,Learning Academy of Commerce ,2023-04-05T18:30:43Z,34초,"1,100,000",1만 4천 1백,"14,127",0.01,관심도 낮음,https://www.youtube.com/watch?v=sUaA28-zc84,https://img.youtube.com/vi/sUaA28-zc84/hqdefault.jpg
"10분만 투자하면 알 수 있는 IT정보!(IoT 플랫폼 시장현황-한글과 컴퓨터,양자암호,원격조정 PTZ 카메라)",씨읽남,2021-07-09T07:03:35Z,8분 48초,"13,600",1백,131,0.01,관심도 낮음,https://www.youtube.com/watch?v=X31GeLZh5dI,https://img.youtube.com/vi/X31GeLZh5dI/hqdefault.jpg
[키워드브리핑]AICON 광주 2022외 광주전남 IT정보,KBC 뉴스,2022-09-27T10:14:17Z,3분 29초,"437,000",1백,125,0.0,관심도 낮음,https://www.youtube.com/watch?v=Hq7bZk9Cyds,https://img.youtube.com/vi/Hq7bZk9Cyds/hqdefault.jpg
[키워드브리핑]광주·전남 공공배달앱 관심 등 IT정보,KBC 뉴스,2022-07-12T10:39:12Z,3분 2초,"437,000",1백,110,0.0,관심도 낮음,https://www.youtube.com/watch?v=QjupIy8lHSw,https://img.youtube.com/vi/QjupIy8lHSw/hqdefault.jpg
