제목,채널명,업로드 날짜,영상 길이,video_id,구독자수,조회수 한글표현,조회수,반응도 (조회수/구독자),반응 해석,영상 링크,thumbnail_url
쿠팡알바 후기 1분 요약,그의 취미,2024-09-14T15:44:07Z,1분 0초,72IQ0SR-y3A,"6,260",38만 6천 1백,"386,157",61.69,버즈 콘텐츠,https://www.youtube.com/watch?v=72IQ0SR-y3A,https://img.youtube.com/vi/72IQ0SR-y3A/hqdefault.jpg
우아한 사뿐,쿠파스,2022-06-26T10:27:41Z,5초,gQsZDS_W-LI,144,8천 4백,"8,423",58.49,버즈 콘텐츠,https://www.youtube.com/watch?v=gQsZDS_W-LI,https://img.youtube.com/vi/gQsZDS_W-LI/hqdefault.jpg
여자가 보면 무서운 벌레 #shorts,리뷰잘하개,2023-02-05T04:30:13Z,21초,tN_y9teWgqU,"82,200",343만 6천 8백,"3,436,843",41.81,강한 반응,https://www.youtube.com/watch?v=tN_y9teWgqU,https://img.youtube.com/vi/tN_y9teWgqU/hqdefault.jpg
80층을 과전류로?  핵딜공략! #쿠키런킹덤,파스모바일,2024-07-29T03:30:14Z,7초,daZMbdUAXxU,"6,680",24만 4천 4백,"244,419",36.59,강한 반응,https://www.youtube.com/watch?v=daZMbdUAXxU,https://img.youtube.com/vi/daZMbdUAXxU/hqdefault.jpg
80층을 과전류로?  핵딜공략! #쿠키런킹덤,파스모바일,2024-07-29T03:30:14Z,7초,daZMbdUAXxU,"6,680",24만 4천 4백,"244,419",36.59,강한 반응,https://www.youtube.com/watch?v=daZMbdUAXxU,https://img.youtube.com/vi/daZMbdUAXxU/hqdefault.jpg
아이폰 사려고 신장 하나를 팔았지만...,푸기자,2023-07-28T09:00:23Z,34초,TRNGFiaZgY8,"195,000",673만 8천 6백,"6,738,602",34.56,강한 반응,https://www.youtube.com/watch?v=TRNGFiaZgY8,https://img.youtube.com/vi/TRNGFiaZgY8/hqdefault.jpg
"[쿠키런킹덤] 끝없는 딸기 케이크타워 40층 공략, 자동도 가능",파스모바일,2024-06-06T13:01:33Z,2분 10초,I5MiW5mf0qE,"6,680",18만 3천 6백,"183,680",27.5,강한 반응,https://www.youtube.com/watch?v=I5MiW5mf0qE,https://img.youtube.com/vi/I5MiW5mf0qE/hqdefault.jpg
파스타 쉽게 만드는 방법,다솔쿠 DASOL COO,2025-04-09T05:00:29Z,16초,WwczFMfsOT0,"109,000",231만 2천 1백,"2,312,145",21.21,강한 반응,https://www.youtube.com/watch?v=WwczFMfsOT0,https://img.youtube.com/vi/WwczFMfsOT0/hqdefault.jpg
25토츠 선수 추천,지뉴는 외계인,2025-06-26T09:00:44Z,31초,R3YE8jnZQmg,"25,200",51만 8천 8백,"518,890",20.59,강한 반응,https://www.youtube.com/watch?v=R3YE8jnZQmg,https://img.youtube.com/vi/R3YE8jnZQmg/hqdefault.jpg
"[유튜브+쿠팡파트너스]로 월 400 버는 방법 | 구독자 0명부터 돈 벌면서 성장하기, EP00",꿈꾸는 콩이네,2023-09-03T02:29:57Z,11분 48초,WwtG3R3d4LQ,"8,100",10만 9천 8백,"109,899",13.57,강한 반응,https://www.youtube.com/watch?v=WwtG3R3d4LQ,https://img.youtube.com/vi/WwtG3R3d4LQ/hqdefault.jpg
"쿠팡 파트너스 가입, 최종 승인, 수익 정산 과정까지 알려드릴게요",뚜벅맘,2023-06-26T07:50:36Z,13분 43초,SJA9R8w2R3E,"5,480",7만 3천 8백,"73,872",13.48,강한 반응,https://www.youtube.com/watch?v=SJA9R8w2R3E,https://img.youtube.com/vi/SJA9R8w2R3E/hqdefault.jpg
배웅중,쿠파스,2022-07-25T02:05:41Z,16초,Bf8kSRW3rUA,144,1천 9백,"1,911",13.27,강한 반응,https://www.youtube.com/watch?v=Bf8kSRW3rUA,https://img.youtube.com/vi/Bf8kSRW3rUA/hqdefault.jpg
배웅중,쿠파스,2022-07-25T02:05:41Z,16초,Bf8kSRW3rUA,144,1천 9백,"1,911",13.27,강한 반응,https://www.youtube.com/watch?v=Bf8kSRW3rUA,https://img.youtube.com/vi/Bf8kSRW3rUA/hqdefault.jpg
결과를 예상했나요?2 #shortvideo #shorts,브레드이발소,2023-10-13T08:00:30Z,14초,b_YTj2vQPiI,"2,570,000",3078만 1천 2백,"30,781,209",11.98,강한 반응,https://www.youtube.com/watch?v=b_YTj2vQPiI,https://img.youtube.com/vi/b_YTj2vQPiI/hqdefault.jpg
훈발롬과 짱구만 이득 본 싸움,이거봤냥,2024-12-16T10:00:29Z,42초,cwzNBix3cz8,"113,000",134만 9백,"1,340,953",11.87,강한 반응,https://www.youtube.com/watch?v=cwzNBix3cz8,https://img.youtube.com/vi/cwzNBix3cz8/hqdefault.jpg
"🔥초간단 가이드💫쿠팡파트너스 유튜브 수익화 영상, 이렇게 만드세요 (2025 최신 방법) 쿠파스",쿠파스마스터,2025-05-03T03:02:57Z,34분 35초,jE3rxpHYnts,"1,310",1만 5천,"15,091",11.52,강한 반응,https://www.youtube.com/watch?v=jE3rxpHYnts,https://img.youtube.com/vi/jE3rxpHYnts/hqdefault.jpg
쿠팡파트너스 이렇게 하세요🌟가입부터 수익자동화 방법까지! 🌟 쿠팡파트너스 가입방법!🌟가이드1편,오토인컴(Auto Income) - 자동수입 시스템,2024-02-19T11:46:54Z,56초,YzF9T-VkyKA,262,2천 6백,"2,654",10.13,강한 반응,https://www.youtube.com/watch?v=YzF9T-VkyKA,https://img.youtube.com/vi/YzF9T-VkyKA/hqdefault.jpg
정우가 추는 오카네카세쿠😎 #춤추는곰돌의랜덤댄스 #춤추는곰돌 #춤추는정우 #AFSTARZ #KPOP #MUSIC #DANCE #챌린지 #댄스 #RPM #랜플 #challenge,춤추는 정우,2025-06-18T03:57:40Z,14초,YX4o5wRKDN4,"3,750",3만 2천 9백,"32,900",8.77,주목,https://www.youtube.com/watch?v=YX4o5wRKDN4,https://img.youtube.com/vi/YX4o5wRKDN4/hqdefault.jpg
"쿠팡파트너스 이렇게 하세요 | 쿠팡파트너스 하는 방법, 지금 바로 시작하세요",금수저 도전기,2023-02-15T15:17:03Z,8분 55초,gPHWJU01Y9I,"15,300",10만 5천 3백,"105,389",6.89,주목,https://www.youtube.com/watch?v=gPHWJU01Y9I,https://img.youtube.com/vi/gPHWJU01Y9I/hqdefault.jpg
쿠팡파트너스 하루에 10분 하면 얼마 벌까?,송마드 - 디지털 노마드로 살아남기,2023-06-06T03:19:08Z,30초,1kv4if6r6Bg,"12,900",6만 8천 5백,"68,549",5.31,주목,https://www.youtube.com/watch?v=1kv4if6r6Bg,https://img.youtube.com/vi/1kv4if6r6Bg/hqdefault.jpg
"""AI쇼츠? 이제 끝물입니다"" 유튜브 영상에 링크만 달아서 돈 버는 미친 방법",잭슨프리덤 Jackson freedom,2025-05-30T08:45:01Z,14분 18초,0kiDUZ3Q7Wk,"24,200",9만 6천 1백,"96,153",3.97,양호,https://www.youtube.com/watch?v=0kiDUZ3Q7Wk,https://img.youtube.com/vi/0kiDUZ3Q7Wk/hqdefault.jpg
"쿠팡파트너스 수익화, 조회수가 적어도 가능한 이유 @김타치",신가젵,2025-01-09T14:00:09Z,56분 55초,ME6G1XfuVbs,"3,320",1만 2천 6백,"12,647",3.81,양호,https://www.youtube.com/watch?v=ME6G1XfuVbs,https://img.youtube.com/vi/ME6G1XfuVbs/hqdefault.jpg
"쿠팡파트너스 수익화, 조회수가 적어도 가능한 이유 @김타치",신가젵,2025-01-09T14:00:09Z,56분 55초,ME6G1XfuVbs,"3,320",1만 2천 6백,"12,647",3.81,양호,https://www.youtube.com/watch?v=ME6G1XfuVbs,https://img.youtube.com/vi/ME6G1XfuVbs/hqdefault.jpg
